feature,importance
Contract,0.16966067788094746
tenure,0.1445860900969559
TotalCharges,0.13212392954712807
MonthlyCharges,0.12257172527106629
OnlineSecurity,0.08826738009917283
TechSupport,0.07267075046420907
InternetService,0.048516914018655787
PaymentMethod,0.04410523017243642
OnlineBackup,0.029975322257884032
PaperlessBilling,0.021280918334918606
DeviceProtection,0.017554179374140087
MultipleLines,0.016820425552747802
Dependents,0.015664527113875733
gender,0.015517477711852698
StreamingTV,0.014500958227974928
Partner,0.0140983854584867
StreamingMovies,0.01403930525606046
SeniorCitizen,0.012159073014108584
PhoneService,0.005886730147378561
