feature,importance
TotalCharges,0.16533997241476947
MonthlyCharges,0.1618176715997051
tenure,0.14916501585666914
Contract,0.1156906721264675
OnlineSecurity,0.05846756762542341
TechSupport,0.05166406367324659
PaymentMethod,0.05085224023033568
InternetService,0.03227625173295252
OnlineBackup,0.028074995280652958
gender,0.024928106483525277
PaperlessBilling,0.023666253111367476
Partner,0.021720017090944416
DeviceProtection,0.021195741613598718
MultipleLines,0.020603236166602968
Dependents,0.019215948955347038
SeniorCitizen,0.017908497462870397
StreamingMovies,0.01645760375611109
StreamingTV,0.015715576007706206
PhoneService,0.0052405688117040765
