feature,importance
tenure,0.1512773955690067
TotalCharges,0.14665163077385873
Contract,0.14297631475574915
MonthlyCharges,0.14229104119404443
OnlineSecurity,0.07016181578537588
TechSupport,0.058526209153899215
PaymentMethod,0.04825409081506339
InternetService,0.04197551671655324
OnlineBackup,0.02707252222606548
PaperlessBilling,0.024397695444508774
gender,0.02098257954160819
MultipleLines,0.019170190223277244
DeviceProtection,0.01914953565968924
Partner,0.017780292645511717
Dependents,0.017586810231571878
StreamingMovies,0.016005611043294645
StreamingTV,0.014852892729716695
SeniorCitizen,0.014830979544255659
PhoneService,0.006056875946949705
